Sensor: LSM6DSL Accelerometer
Vendor: STM
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
475003541038587;1.3431;9.4092;1.4617;
475003561025166;-0.7985;9.0597;1.5131;
475003581029283;-2.2841;9.9503;0.2861;
475003601720399;1.9034;9.6247;1.2498;
475003621662630;0.8499;10.6231;1.1540;
475003641335880;-1.8735;10.4267;0.8009;
475003661169832;0.6033;8.6706;1.2881;
475003681084289;0.9756;9.8222;2.7533;
475003701046075;-1.0798;10.8122;0.6201;
475003721022160;-1.4617;10.8781;1.0127;
475003741016472;0.1317;9.8665;2.4744;
475003761142436;0.2562;9.6810;2.0147;
475003781175629;0.3208;10.5500;1.3623;
475003801088437;-0.3711;10.1382;0.7266;
475003821041534;-0.5890;9.7061;1.3360;
475003841038198;1.3048;11.5640;-0.5064;
475003861022664;-2.0865;9.6259;1.3815;
475003881007532;-2.6779;9.3553;0.6045;
475003901000543;1.3443;9.7791;0.5578;
475003921027183;0.9972;9.8162;0.2239;
475003941047522;-0.6309;10.1957;0.5926;
475003961060942;-0.1664;10.2436;1.2953;
475003981068459;0.5794;10.9882;1.1337;
475004001042737;-0.1592;9.6403;1.1540;
475004021026914;0.1939;8.7508;1.3874;
475004041026291;0.0634;9.8390;0.9768;
475004061025634;0.7578;10.9044;0.9433;
475004081021844;0.8918;10.5872;0.3388;
475004101025583;-0.6979;8.2301;2.1967;
475004121052972;0.8080;9.2237;1.1839;
475004141031570;1.7992;10.1825;-0.1257;
475004161060196;1.0810;10.6745;-0.3711;
475004181107317;-1.5383;11.0121;0.2239;
475004201108839;0.7590;9.5732;0.6488;
475004221064715;2.2960;8.1630;1.7693;
475004241073576;1.9369;9.8916;0.8128;
475004261045180;0.9541;10.9487;0.2873;
475004281069790;-0.3388;10.0209;0.6213;
475004301833383;0.6177;8.4156;1.4413;
475004321429141;1.3587;8.9016;2.1129;
475004341236232;0.9074;9.9814;-1.2031;
475004361129585;0.5770;10.2496;-0.4872;
475004381100338;-0.4190;10.4339;-0.8595;
475004401107792;0.3100;10.3166;-1.0618;
475004421089576;2.7569;8.6383;2.5881;
475004441070834;0.7099;9.7408;-0.7769;
475004461060059;0.3519;10.6745;-2.0435;
475004481115825;-0.9038;9.7516;-0.8116;
475004501150670;0.6464;8.7029;1.7454;
475004521159535;0.7913;10.1993;0.6333;
475004541124775;0.5926;10.9583;-2.6073;
475004561098837;-1.2426;9.9168;-0.4190;
475004581098349;-0.0754;9.3218;1.5790;
475004601101105;1.2582;10.9475;-2.2613;
475004621136387;0.9325;10.0784;-0.5219;
475004641158489;-0.6165;9.3027;0.3065;
475004661131579;-0.3328;9.0597;0.1820;
475004681142335;1.1744;10.1263;-0.4357;
475004701161771;0.6788;10.6841;-0.7841;
475004721102297;-0.2143;9.9000;-0.0120;
475004741101002;0.1329;9.5122;-1.2354;
475004761094412;1.6975;10.2699;-0.9038;
475004781097155;1.5658;10.9044;-0.9014;
475004801106277;-0.0132;9.7396;-0.4968;
475004821144338;-0.2801;9.6965;1.3527;
475004841163465;1.7011;11.0660;0.1508;
475004861095432;1.0558;10.4962;-0.0527;
475004881094358;0.2717;9.8378;1.2498;
475004901134052;1.4006;10.5022;-0.4214;
475004921125552;1.7190;11.2037;-1.2234;
475004941154168;1.3300;10.4567;0.6895;
475004961125687;0.9266;10.2843;0.9816;
475004981072851;0.9062;10.7428;-0.2969;
475005001126452;1.3791;10.5417;-0.5315;
475005021107175;1.6352;9.9108;-0.2502;
