TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
473997216885851;1604477851437;48.883603038266;9.130113674328;360.0000;0.0700;0.0000;8.00000000;100.00000000;20.00000000;10.00000000;
473998790379542;1604477853000;48.883572863415;9.130103867501;353.0000;0.0400;0.0000;9.00000000;100.00000000;20.00000000;10.00000000;
473999797259118;1604477854000;48.883570139296;9.130106130615;354.0000;0.0000;0.0000;12.00000000;100.00000000;20.00000000;10.00000000;
474000794133541;1604477855000;48.883557859808;9.130111327395;355.0000;0.0100;0.0000;4.50000000;100.00000000;20.00000000;10.00000000;
474001802372463;1604477856000;48.883556644432;9.130111495033;355.0000;0.0000;0.0000;4.50000000;100.00000000;20.00000000;10.00000000;
474002785472347;1604477857000;48.883556644432;9.130111495033;355.0000;0.0000;0.0000;3.50000000;100.00000000;20.00000000;10.00000000;
474003778850769;1604477858000;48.883578311652;9.130105376244;355.0000;3.3300;350.5000;3.00000000;100.00000000;20.00000000;10.00000000;
474004786200499;1604477859000;48.883609576151;9.130107387900;354.0000;4.3500;357.3000;2.50000000;100.00000000;20.00000000;10.00000000;
474005782643422;1604477860000;48.883649013005;9.130114428699;353.0000;5.4600;8.5000;2.00000000;100.00000000;20.00000000;10.00000000;
474006783162806;1604477861000;48.883703788742;9.130143597722;354.0000;7.0200;27.7000;2.00000000;100.00000000;20.00000000;10.00000000;
474007777306382;1604477862000;48.883740040474;9.130222136155;353.0000;7.3100;53.1000;2.50000000;100.00000000;20.00000000;10.00000000;
474008789035150;1604477863000;48.883763258345;9.130321461707;353.0000;8.7700;66.7000;2.00000000;100.00000000;20.00000000;10.00000000;
474009773030611;1604477864000;48.883793558925;9.130449285731;353.0000;10.8300;70.8000;2.00000000;100.00000000;20.00000000;10.00000000;
474010765485841;1604477865000;48.883835258894;9.130606697872;353.0000;12.6000;67.3000;2.00000000;100.00000000;20.00000000;10.00000000;
474011767355148;1604477866000;48.883882449009;9.130762768909;354.0000;12.6000;66.8000;1.50000000;100.00000000;20.00000000;10.00000000;
474012769920994;1604477867000;48.883931483142;9.130931412801;355.0000;13.4700;65.9000;1.50000000;100.00000000;20.00000000;10.00000000;
474013786261185;1604477868000;48.883986468427;9.131112042814;355.0000;15.1500;65.2000;2.00000000;100.00000000;20.00000000;10.00000000;
474014789293492;1604477869000;48.884052140638;9.131296863779;355.0000;16.3300;62.1000;1.50000000;100.00000000;20.00000000;10.00000000;
474015772252645;1604477870000;48.884122716263;9.131492916495;354.0000;15.8000;62.3000;1.50000000;100.00000000;20.00000000;10.00000000;
474016770078145;1604477871000;48.884193459526;9.131686035544;353.0000;16.1100;62.0000;1.50000000;100.00000000;20.00000000;10.00000000;
474017783306682;1604477872000;48.884264454246;9.131880663335;353.0000;16.4200;61.7000;1.50000000;100.00000000;20.00000000;10.00000000;
474018786629297;1604477873000;48.884336412884;9.132080907002;352.0000;17.0800;60.8000;2.00000000;100.00000000;20.00000000;10.00000000;
474019799345719;1604477874000;48.884413274936;9.132290370762;351.0000;17.5700;60.8000;1.50000000;100.00000000;20.00000000;10.00000000;
474020811307757;1604477875000;48.884494160302;9.132497403771;350.0000;17.5100;61.3000;1.50000000;100.00000000;20.00000000;10.00000000;
474021787897718;1604477876000;48.884574626572;9.132702592760;350.0000;17.8200;60.3000;1.50000000;100.00000000;20.00000000;10.00000000;
474022765774410;1604477877000;48.884652704000;9.132918175310;349.0000;18.1800;60.7000;1.50000000;100.00000000;20.00000000;10.00000000;
474023775674909;1604477878000;48.884731871076;9.133139373735;348.0000;18.2600;60.0000;2.00000000;100.00000000;20.00000000;10.00000000;
474024770895254;1604477879000;48.884815103374;9.133360823616;348.0000;18.5700;60.5000;2.00000000;100.00000000;20.00000000;10.00000000;
474025771854446;1604477880000;48.884894982912;9.133587554097;347.0000;18.7600;60.1000;1.50000000;100.00000000;20.00000000;10.00000000;
474026784866830;1604477881000;48.884977125563;9.133812440559;347.0000;18.8900;60.3000;1.50000000;100.00000000;20.00000000;10.00000000;
474027775554752;1604477882000;48.885065889917;9.134035650641;346.0000;19.1200;61.0000;2.50000000;100.00000000;20.00000000;10.00000000;
474028805166444;1604477883000;48.885148996487;9.134266320616;346.0000;19.0500;61.0000;2.00000000;100.00000000;20.00000000;10.00000000;
474029773556366;1604477884000;48.885234869085;9.134488273412;346.0000;18.9600;61.1000;2.00000000;100.00000000;20.00000000;10.00000000;
474030787124212;1604477885000;48.885314036161;9.134719446301;346.0000;18.7400;61.8000;2.00000000;100.00000000;20.00000000;10.00000000;
474031771713749;1604477886000;48.885391233489;9.134948691353;345.0000;18.5000;62.2000;1.50000000;100.00000000;20.00000000;10.00000000;
474032791242249;1604477887000;48.885463778861;9.135172571987;345.0000;18.6900;63.6000;1.50000000;100.00000000;20.00000000;10.00000000;
474033787696709;1604477888000;48.885538293980;9.135399302468;344.0000;18.8700;64.1000;1.50000000;100.00000000;20.00000000;10.00000000;
474034785369824;1604477889000;48.885612222366;9.135629134253;344.0000;19.0300;64.7000;1.50000000;100.00000000;20.00000000;10.00000000;
474035772233516;1604477890000;48.885680618696;9.135865587741;344.0000;19.2600;66.0000;1.50000000;100.00000000;20.00000000;10.00000000;
474036787094323;1604477891000;48.885745787993;9.136107657105;344.0000;19.2700;66.7000;1.50000000;100.00000000;20.00000000;10.00000000;
474037789144668;1604477892000;48.885810370557;9.136347295716;344.0000;18.9000;67.6000;1.50000000;100.00000000;20.00000000;10.00000000;
474038787269513;1604477893000;48.885875078849;9.136585593224;344.0000;18.5700;68.3000;1.00000000;100.00000000;20.00000000;10.00000000;
474039792637628;1604477894000;48.885929142125;9.136821711436;344.0000;18.2500;70.2000;1.50000000;100.00000000;20.00000000;10.00000000;
474040797942204;1604477895000;48.885981151834;9.137059254572;343.0000;18.4900;71.2000;1.00000000;100.00000000;20.00000000;10.00000000;
474041803793242;1604477896000;48.886030940339;9.137303000316;343.0000;18.8700;72.7000;1.00000000;100.00000000;20.00000000;10.00000000;
474042773921780;1604477897000;48.886078214273;9.137544315308;342.0000;18.6600;74.3000;1.00000000;100.00000000;20.00000000;10.00000000;
474043803364356;1604477898000;48.886118405499;9.137790827081;342.0000;18.4600;75.3000;1.00000000;100.00000000;20.00000000;10.00000000;
474044778109009;1604477899000;48.886157381348;9.138034321368;342.0000;18.5100;75.8000;1.00000000;100.00000000;20.00000000;10.00000000;
