Sensor: LSM6DSL Accelerometer
Vendor: STM
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
473998127718709;-0.1209;9.7815;0.9852;
473998147687510;-0.6728;9.6031;1.0403;
473998167671757;-0.1832;9.7013;1.0546;
473998187666323;-0.4178;9.6786;0.9170;
473998207664990;-0.4944;9.6486;1.2641;
473998227702689;-0.2658;9.7767;1.2629;
473998247716750;-0.3244;9.6917;1.1061;
473998267727031;-0.4597;9.6690;1.1732;
473998287750210;-0.4549;9.6582;1.3300;
473998307702472;-0.2682;9.8090;1.2414;
473998327719084;-0.6045;9.6810;1.1384;
473998347727813;-0.2191;9.7133;1.1528;
473998367738062;-0.5160;9.6666;0.9493;
473998387699725;-0.3148;9.6965;0.9996;
473998407679518;-0.4465;9.6391;1.0403;
473998427707453;-0.3998;9.6570;1.2929;
473998447721536;-0.3448;9.8102;1.2378;
473998467727616;-0.5710;9.7049;1.2258;
473998487694887;-0.2921;9.7073;1.1516;
473998507675984;-0.5698;9.6582;1.2534;
473998527666455;-0.1652;9.7851;1.1779;
473998547711306;-0.6333;9.5936;1.2534;
473998567723828;-0.1520;9.7731;1.0546;
473998587729243;-0.6141;9.6965;0.8380;
473998607739008;-0.3496;9.6546;1.0930;
473998627738390;-0.2705;9.6690;1.1121;
473998647736004;-0.5255;9.6486;1.2725;
473998667732081;-0.2693;9.7983;1.2091;
473998687744119;-0.5770;9.6786;1.3408;
473998707711676;-0.1975;9.8055;1.1241;
473998731218205;-0.5207;9.7037;1.3348;
473998749439162;-0.1712;9.7612;1.2917;
473998768557448;-0.6225;9.5900;1.0654;
473998788100822;-0.1532;9.7193;0.9373;
473998807876509;-0.5830;9.6151;0.9744;
473998827792775;-0.2993;9.7073;1.1193;
473998847731485;-0.4645;9.7408;1.0259;
473998867699494;-0.4477;9.6893;1.3324;
473998887697441;-0.2526;9.7480;1.3180;
473998907695260;-0.5746;9.6343;1.1779;
473998927682670;-0.1425;9.7624;0.9732;
473998947680510;-0.6608;9.5972;0.9972;
473998967690891;-0.1688;9.7061;1.0044;
473998987693735;-0.6309;9.6893;1.0463;
473999007692292;-0.2418;9.6678;1.0104;
473999027688936;-0.4298;9.6355;0.9541;
473999047678700;-0.3603;9.6762;1.1408;
473999067669236;-0.4106;9.7037;1.1504;
473999087718581;-0.4645;9.6917;1.3252;
473999107702600;-0.2813;9.8294;1.2845;
473999127724167;-0.6129;9.6762;1.1049;
473999147696604;-0.2179;9.6881;1.0918;
473999167721938;-0.4824;9.6151;0.9697;
473999187694663;-0.2885;9.6845;1.0235;
473999207681179;-0.5076;9.7001;1.0271;
473999227673168;-0.4046;9.7085;1.2186;
473999247669432;-0.5447;9.6235;0.8930;
473999267709410;-0.3735;9.6355;1.1756;
473999287729726;-0.3136;9.7205;1.1037;
473999307708711;-0.5124;9.6989;1.3072;
473999327688145;-0.2658;9.8031;1.2378;
473999347679151;-0.6393;9.6367;1.2677;
473999367717500;-0.1173;9.7671;1.0606;
473999387694694;-0.5866;9.6391;0.9218;
473999407683194;-0.3412;9.6426;1.0738;
473999427719079;-0.3244;9.7193;1.0163;
473999447736964;-0.5160;9.6965;1.2677;
473999467745176;-0.2825;9.7707;1.2558;
473999487750782;-0.2047;9.7037;1.0906;
473999507759854;-0.4920;9.7360;1.0487;
473999527751967;-0.4717;9.6833;1.3491;
473999547750542;-0.2035;9.7707;1.3539;
