Sensor: LSM6DSO Acceleration Sensor
Vendor: STM
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
1028167188207910;-0.1341;9.7375;0.9601;
1028167208205443;-0.1197;9.7208;0.9338;
1028167228202909;-0.1461;9.7255;0.9290;
1028167248200442;-0.1508;9.7112;0.8811;
1028167268197975;-0.1437;9.6753;0.8715;
1028167288195508;-0.1461;9.6681;0.8595;
1028167308192974;-0.1724;9.6537;0.8356;
1028167328190474;-0.1580;9.6729;0.8356;
1028167348187974;-0.1580;9.6753;0.8356;
1028167368185440;-0.1580;9.6896;0.8476;
1028167388183006;-0.1461;9.7160;0.8643;
1028167408180706;-0.1365;9.7088;0.8739;
1028167428178439;-0.1413;9.7184;0.9050;
1028167448176205;-0.1293;9.7112;0.9074;
1028167468174038;-0.1101;9.7160;0.8859;
1028167488171871;-0.1389;9.6896;0.8859;
1028167508169637;-0.1389;9.6681;0.8883;
1028167528167403;-0.1269;9.6848;0.8524;
1028167548165236;-0.1365;9.7112;0.8763;
1028167568163069;-0.1293;9.7208;0.8667;
1028167588160835;-0.1245;9.7064;0.8763;
1028167608158668;-0.1437;9.7232;0.8907;
1028167628156501;-0.1820;9.7232;0.9026;
1028167648154334;-0.1844;9.7040;0.9002;
1028167668152100;-0.1772;9.6944;0.8979;
1028167688149933;-0.1628;9.6729;0.8763;
1028167708147066;-0.1604;9.6657;0.8883;
1028167728144799;-0.1341;9.6968;0.8715;
1028167748142599;-0.1628;9.7064;0.8667;
1028167768140399;-0.1532;9.6872;0.8715;
1028167788138199;-0.1508;9.7232;0.8476;
1028167808135932;-0.1389;9.7351;0.8907;
1028167828133732;-0.1197;9.7208;0.9050;
1028167848131565;-0.1197;9.6753;0.9098;
1028167868129331;-0.1197;9.7064;0.8979;
1028167888127097;-0.1173;9.7064;0.9122;
1028167908124930;-0.1389;9.7040;0.9242;
1028167928122763;-0.1508;9.6944;0.8859;
1028167948153863;-0.1676;9.6848;0.8691;
1028167968184996;-0.1461;9.7040;0.8452;
1028167988216029;-0.1508;9.7136;0.8619;
1028168008246929;-0.1508;9.7136;0.8524;
1028168028277795;-0.1437;9.7184;0.8619;
1028168048308628;-0.1700;9.7112;0.8907;
1028168068372728;-0.1532;9.6968;0.8859;
1028168088436828;-0.1293;9.7184;0.8931;
1028168108500994;-0.1484;9.6920;0.9026;
1028168128565160;-0.1245;9.6968;0.9098;
1028168148629260;-0.1269;9.6992;0.9026;
1028168168693360;-0.1461;9.7064;0.8955;
1028168188757526;-0.1508;9.7208;0.8787;
1028168208821692;-0.1484;9.7232;0.8643;
1028168228885792;-0.1389;9.7040;0.8835;
1028168248949925;-0.1484;9.7184;0.8907;
1028168269014125;-0.1484;9.7016;0.8787;
1028168289078258;-0.1413;9.6824;0.8883;
1028168309143091;-0.1652;9.6705;0.8787;
1028168329207291;-0.1341;9.6777;0.9050;
1028168349271491;-0.1197;9.6896;0.9002;
1028168369335624;-0.1245;9.6920;0.9002;
1028168389399757;-0.1461;9.7136;0.8763;
1028168409463957;-0.1341;9.7184;0.8763;
1028168429528090;-0.1317;9.7088;0.8883;
1028168449592190;-0.1604;9.7088;0.9050;
1028168469656390;-0.1484;9.7064;0.8859;
1028168489720623;-0.1508;9.7088;0.8691;
1028168509784856;-0.1556;9.7136;0.8787;
1028168529849089;-0.1508;9.6968;0.8907;
1028168549880055;-0.1580;9.6920;0.8667;
1028168569910955;-0.1437;9.7016;0.8931;
1028168589941855;-0.1604;9.6944;0.9098;
1028168609972821;-0.1556;9.6968;0.8931;
1028168630003787;-0.1317;9.6992;0.8859;
1028168650034687;-0.1461;9.7088;0.8859;
1028168670032320;-0.1341;9.7232;0.8859;
1028168690029953;-0.1245;9.7160;0.8643;
1028168710026886;-0.1532;9.7279;0.8643;
1028168730023752;-0.1293;9.7136;0.8691;
1028168750021385;-0.1293;9.7040;0.8763;
1028168770019018;-0.1245;9.6848;0.8715;
1028168790016584;-0.1437;9.6992;0.9050;
1028168810014150;-0.1437;9.6681;0.9122;
1028168830011783;-0.1820;9.6657;0.9266;
1028168850009383;-0.1628;9.7064;0.8955;
1028168870006949;-0.1461;9.7112;0.8979;
1028168890004582;-0.1724;9.7160;0.8931;
1028168910002215;-0.1580;9.7327;0.8931;
1028168929999781;-0.1628;9.7423;0.8643;
1028168949997347;-0.1413;9.7255;0.8428;
1028168969994980;-0.1580;9.7160;0.8835;
1028168989992613;-0.1317;9.7112;0.8739;
1028169009990179;-0.1197;9.6944;0.8859;
1028169029987812;-0.1077;9.6896;0.9122;
1028169049985445;-0.1317;9.6920;0.9242;
1028169069983045;-0.1389;9.6896;0.9002;
1028169089980545;-0.1389;9.7016;0.8715;
1028169109978045;-0.1293;9.7112;0.8787;
1028169129975545;-0.1556;9.7136;0.8955;
1028169149972978;-0.1628;9.7279;0.8763;
1028169169970478;-0.1580;9.7040;0.8835;
1028169189967978;-0.1508;9.7208;0.8739;
1028169209965478;-0.1293;9.7375;0.8236;
1028169229962911;-0.1365;9.7160;0.8763;
1028169249960411;-0.1532;9.6872;0.9098;
1028169269957911;-0.1365;9.6920;0.8811;
1028169289955377;-0.1437;9.6848;0.8739;
1028169309953543;-0.1580;9.6944;0.8979;
1028169329951776;-0.1604;9.6801;0.9409;
1028169349949309;-0.1676;9.7160;0.8715;
1028169369946775;-0.1700;9.7279;0.8883;
1028169389944308;-0.1820;9.7064;0.8835;
1028169409941841;-0.1604;9.7184;0.8835;
1028169429939307;-0.1580;9.7112;0.8619;
1028169449936773;-0.1437;9.7064;0.8452;
1028169469934273;-0.1293;9.6968;0.9026;
1028169489931773;-0.1245;9.7136;0.8955;
1028169509929239;-0.1173;9.6944;0.8500;
1028169529926872;-0.1365;9.7112;0.8619;
1028169549924572;-0.1389;9.6872;0.8691;
1028169569922305;-0.1484;9.6872;0.9002;
1028169589920071;-0.1700;9.7016;0.8931;
1028169609917904;-0.1508;9.7184;0.9146;
1028169629915737;-0.1604;9.7040;0.8787;
1028169649913503;-0.1580;9.7351;0.9433;
1028169669911269;-0.1676;9.7040;0.8691;
1028169689909102;-0.1700;9.7160;0.8595;
1028169709906502;-0.1580;9.7040;0.9098;
1028169729903568;-0.1628;9.7016;0.8476;
1028169749901401;-0.1365;9.7040;0.8500;
1028169769899234;-0.1365;9.7040;0.9026;
1028169789897000;-0.1101;9.6896;0.8883;
1028169809894766;-0.1341;9.6896;0.8548;
1028169829892299;-0.1341;9.7232;0.9314;
1028169849890132;-0.1293;9.7136;0.9074;
1028169869887898;-0.1365;9.6801;0.8332;
1028169889885698;-0.1413;9.7375;0.9409;
1028169909883498;-0.1197;9.7136;0.9002;
1028169929881231;-0.1580;9.6944;0.8404;
1028169949878964;-0.1532;9.6968;0.8524;
1028169969876764;-0.1556;9.7160;0.9505;
1028169989874564;-0.1628;9.6992;0.8619;
1028170009872330;-0.1628;9.6920;0.8356;
1028170029870163;-0.1484;9.7064;0.8739;
1028170049867996;-0.1341;9.6944;0.8979;
1028170069865829;-0.1508;9.7064;0.8907;
1028170089863595;-0.1389;9.6992;0.8572;
1028170109861395;-0.1317;9.6992;0.8811;
1028170129859095;-0.1269;9.7136;0.9074;
1028170149856661;-0.1341;9.7184;0.9146;
1028170169854194;-0.1413;9.7088;0.8787;
1028170189851694;-0.1293;9.7136;0.8643;
1028170209849194;-0.1461;9.6944;0.8811;
1028170229846627;-0.1413;9.6920;0.8955;
1028170249844127;-0.1580;9.6944;0.8859;
1028170269841627;-0.1628;9.7160;0.8691;
1028170289839060;-0.1413;9.6896;0.8763;
1028170309836926;-0.1365;9.6992;0.8811;
1028170329835126;-0.1484;9.7040;0.8643;
1028170349832626;-0.1437;9.7112;0.8835;
1028170369830059;-0.1580;9.7160;0.8739;
1028170389827559;-0.1461;9.7208;0.8883;
1028170409825092;-0.1317;9.7136;0.8979;
1028170429822858;-0.1532;9.7088;0.8739;
1028170449820324;-0.1389;9.6872;0.8691;
1028170469817857;-0.1484;9.6896;0.8859;
1028170489815390;-0.1628;9.7040;0.8931;
1028170509812856;-0.1389;9.7160;0.9098;
1028170529810389;-0.1365;9.7064;0.8811;
1028170549807922;-0.1461;9.7064;0.8524;
1028170569805455;-0.1365;9.7040;0.8572;
1028170589802921;-0.1461;9.7232;0.8811;
1028170609800454;-0.1461;9.7184;0.8979;
1028170629798020;-0.1413;9.7184;0.9074;
1028170649795586;-0.1365;9.7112;0.8763;
1028170669793152;-0.1245;9.6944;0.8835;
1028170689790785;-0.1389;9.7016;0.8883;
1028170709787718;-0.1341;9.7016;0.9050;
1028170729785284;-0.1508;9.7064;0.9146;
1028170749782917;-0.1556;9.7016;0.8811;
1028170769780550;-0.1700;9.7136;0.8763;
1028170789778116;-0.1437;9.7016;0.8452;
1028170809775682;-0.1580;9.6968;0.8643;
1028170829773315;-0.1508;9.7303;0.8787;
1028170849770948;-0.1484;9.7088;0.8739;
1028170869768514;-0.1437;9.7040;0.8835;
1028170889766147;-0.1508;9.6992;0.8691;
1028170909763780;-0.1389;9.7040;0.8955;
1028170929761346;-0.1532;9.6992;0.8667;
1028170949758912;-0.1484;9.6944;0.8835;
1028170969756545;-0.1365;9.7016;0.8835;
1028170989754178;-0.1508;9.7040;0.8835;
1028171009751711;-0.1413;9.7160;0.8811;
1028171029749344;-0.1580;9.7040;0.8572;
1028171049746977;-0.1604;9.6896;0.8739;
1028171069744610;-0.1604;9.7136;0.8883;
1028171089742176;-0.1652;9.7279;0.8907;
1028171109739809;-0.1484;9.7112;0.8763;
1028171129737442;-0.1365;9.6968;0.8859;
1028171149735008;-0.1317;9.7016;0.8763;
1028171169732574;-0.1293;9.6872;0.8763;
1028171189730207;-0.1484;9.6968;0.8667;
1028171209727807;-0.1413;9.7040;0.8883;
1028171229725307;-0.1437;9.7303;0.8931;
1028171249722807;-0.1461;9.7184;0.8979;
1028171269720307;-0.1437;9.7016;0.8787;
1028171289717740;-0.1604;9.7016;0.8715;
1028171309715873;-0.1748;9.6992;0.8835;
1028171329713373;-0.1700;9.6992;0.8643;
1028171349710873;-0.1724;9.6872;0.8739;
1028171369708306;-0.1508;9.7088;0.8883;
1028171389705806;-0.1413;9.6968;0.8835;
1028171409703306;-0.1437;9.6896;0.8859;
1028171429700772;-0.1341;9.7184;0.9505;
1028171449698238;-0.1389;9.6992;0.8859;
1028171469695771;-0.1389;9.7016;0.9122;
1028171489693304;-0.1365;9.6968;0.8356;
1028171509690770;-0.1461;9.7160;0.8931;
1028171529688303;-0.1437;9.7136;0.8907;
1028171549685836;-0.1317;9.7088;0.8787;
1028171569683369;-0.1101;9.7088;0.8380;
1028171589680835;-0.1173;9.7327;0.8811;
1028171609678368;-0.1269;9.7279;0.8715;
1028171629675868;-0.1604;9.7160;0.8883;
1028171649673334;-0.1652;9.7040;0.8979;
1028171669670900;-0.1844;9.6681;0.8691;
1028171689668600;-0.1676;9.6824;0.8787;
1028171709665633;-0.1628;9.6801;0.8667;
1028171729662666;-0.1676;9.6896;0.8691;
1028171749660532;-0.1748;9.7040;0.8739;
1028171769657698;-0.1844;9.7303;0.8931;
1028171789655498;-0.1676;9.7208;0.9002;
1028171809653298;-0.1461;9.7208;0.9002;
1028171829651164;-0.1317;9.7327;0.8955;
1028171849649030;-0.1077;9.7112;0.8763;
1028171869646830;-0.0910;9.6992;0.8548;
1028171889644696;-0.0958;9.7016;0.9122;
1028171909642562;-0.1197;9.6777;0.8739;
1028171929640362;-0.1030;9.7160;0.8572;
1028171949638162;-0.0958;9.7255;0.8715;
1028171969636028;-0.1389;9.6920;0.8715;
1028171989633894;-0.1556;9.7064;0.8787;
1028172009631694;-0.1556;9.7184;0.8715;
1028172029629527;-0.1556;9.7040;0.8787;
1028172049627360;-0.2131;9.7040;0.8883;
1028172069625193;-0.2107;9.6777;0.8907;
1028172089622993;-0.2107;9.6777;0.8619;
1028172109620859;-0.2011;9.6824;0.8907;
1028172129618725;-0.1963;9.6896;0.9050;
1028172149616525;-0.1604;9.7064;0.8763;
1028172169614325;-0.1245;9.7279;0.8739;
1028172189612191;-0.1484;9.7136;0.8955;
1028172209610057;-0.1341;9.7088;0.8835;
1028172229607857;-0.1125;9.7064;0.8715;
1028172249605690;-0.1006;9.7160;0.8907;
